DATE DE CLASSEMENT,DATE DE PUBLICATION DE L'ETABLISSEMENT,TYPOLOGIE ÉTABLISSEMENT,CLASSEMENT,CATEGORIE,MENTION (villages de vacances),NOM COMMERCIAL,ADRESSE,CODE POSTAL,COMMUNE,TÉLÉPHONE,COURRIEL,SITE INTERNET,TYPE DE SÉJOUR,CAPACITÉ D'ACCUEIL (PERSONNES),NOMBRE DE CHAMBRES,NOMBRE D'EMPLACEMENTS,NOMBRE D'UNITES D'HABITATION  (résidences de tourisme),NOMBRE D'UNITES D'HABITATION (villages de vacances),NOMBRE DE LOGEMENTS,,,,,,,,,,,,,,,,,,,,,,,
08/06/2017,08/06/2017,CAMPING,2 �toiles,Tourisme,-,CAMPING GCU SAINT-SATURNIN-L�S-APT,348 CHEMIN DU MOULIN � HUILE,84490,SAINT-SATURNIN-L�S-APT,147639863,stsaturninlesapt8402@gcuf.fr,http://www.gcu.asso.fr/terrains/saint-saturnin-l%C3%A8s-apt-vaucluse-84,-,-,-,143,-,-,,,,,,,,,,,,,,,,,,,,,,,,
04/07/2013,04/07/2013,CAMPING,2 �toiles,Tourisme,-,CAMPING LE CHAUDEBRY,Chaudebry,7110,VINEZAC,475368087,campinglechaudebry@orange.fr,http://lechaudebry.free.fr,-,-,-,25,-,-,,,,,,,,,,,,,,,,,,,,,,,,
12/07/2016,12/07/2016,CAMPING,2 �toiles,Tourisme,-,CAMPING MUNICIPAL DE LA COMMUNE DE QUIMPERL�,2 rue de Kermaria,29300,QUIMPERL�,298393130,camping@ville-quimperle.fr,http://www.quimperle.com/,-,-,-,40,-,-,,,,,,,,,,,,,,,,,,,,,,,,
05/11/2012,05/11/2012,CAMPING,3 �toiles,Tourisme,-,CAMPING LA FERME DES HAUTS FR�NES,6 voie de Puiseaux,10130,EAUX-PUISEAUX,325421504,les.hauts.frenes@wanadoo.fr,http://les-hauts-frenes.com,-,-,-,30,-,-,,,,,,,,,,,,,,,,,,,,,,,,
21/07/2017,21/07/2017,CAMPING,4 �toiles,Tourisme,-,CAMPING LA BARQUE,Quartier les Fougerettes ,83370,SAINT AYGULF,494813186,info@camping-la-barque.com,http://camping-la-barque.com,-,-,-,147,-,-,,,,,,,,,,,,,,,,,,,,,,,,
08/10/2013,08/10/2013,CAMPING,2 �toiles,-,-,CAMPING MUNICIPAL LES MOTTES,1 chemin des Bourbiers,10130,ERVY-LE-CH�TEL,325705036,mairie-ervy-le-chatel@wanadoo.fr,http://www.ervy-le-chatel.fr,-,-,-,51,-,-,,,,,,,,,,,,,,,,,,,,,,,,
27/03/2017,27/03/2017,CAMPING,2 �toiles,Loisirs,-,CAMPING DU PETIT PONT,RUE DU DOCTEUR BIHOREL,27540,IVRY-LA-BATAILLE,617846593,canoenature@sfr.fr,https://www.canoenature.fr/camping-du-petit-pont/,-,-,-,79,-,-,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2016,06/06/2016,CAMPING,2 �toiles,Tourisme,-,CAMPING DU RENARD,RUE DU GU�,86150,QUEAUX,549484832,queaux@cg86.fr,https://queauxcampingdurenard.net/,-,-,-,26,-,-,,,,,,,,,,,,,,,,,,,,,,,,
06/06/2017,06/06/2017,CAMPING,4 �toiles,Tourisme,-,CAMPING CARAVANING SAINT PAUL,637 CHEMIN DU MALVANT,6570,SAINT-PAUL,493329371,caravaningstpaul@aol.com,http://www.caravaningsaintpaul.fr,-,-,-,96,-,-,,,,,,,,,,,,,,,,,,,,,,,,
21/11/2014,21/11/2014,CAMPING,4 �toiles,Tourisme,-,CAMPING LE RUOU,309 route d�partementale 560,83690,VILLECROZE,494706770,info@leruou.com,http://www.leruou.com,-,-,-,134,-,-,,,,,,,,,,,,,,,,,,,,,,,,
28/12/2012,28/12/2012,CAMPING,2 �toiles,Loisirs,-,CAMPING LA MOUETTE,route de la Roche,85800,GIVRAND,251552494,campinglamouette@orange.fr,-,-,-,-,61,-,-,,,,,,,,,,,,,,,,,,,,,,,,
17/07/2014,17/07/2014,CAMPING,4 �toiles,Tourisme,-,CAMPING LE NID D��T�,2 rue de la vigne verte,85340,OLONNE-SUR-MER,251953438,info@leniddete.com,http://www.leniddete.com,-,-,-,150,-,-,,,,,,,,,,,,,,,,,,,,,,,,
01/07/2013,01/07/2013,CAMPING,2 �toiles,Tourisme,-,LES AUBERGES,6 rue les auberges,11120,POUZOLS-MINERVOIS,468462650,vero.pradal@neuf.fr,www..camping-lesauberges.fr,-,-,-,20,-,-,,,,,,,,,,,,,,,,,,,,,,,,
27/09/2017,27/09/2017,CAMPING,3 �toiles,Tourisme,-,CAMPING LE CENTRAL,23 Avenue Charles Cauquil,34350,VALRAS-PLAGE,467321078,campingcentral@orange.fr,http://www.centralcampingvalras.com/fr/index.html,-,-,-,163,-,-,,,,,,,,,,,,,,,,,,,,,,,,
09/06/2015,09/06/2015,CAMPING,2 �toiles,Tourisme,-,CAMPING GLAMPING TERRE-ROUGE,le verdier,12580,VILLECOMTAL,678503441,liliane@terre-rouge.fr,www.terre-rouge.fr,-,-,-,21,-,-,,,,,,,,,,,,,,,,,,,,,,,,
13/07/2016,13/07/2016,CAMPING,3 �toiles,Tourisme,-,CAMPING REINE MATHILDE,Route de Sainte Honorine,14400,�TR�HAM,231217655,campingreinemathilde@gmail.com,http://www.camping-normandie-rm.fr/,-,-,-,144,-,-,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2016,01/08/2016,CAMPING,4 �toiles,Tourisme,-,CAMPING DE SAINT-AYGULF PLAGE,270 boulevard salvarelli,83370,SAINT AYGULF,494176249,info@campingdesaintaygulf.fr,http://www.campingdesaintaygulf.fr,-,-,-,1100,-,-,,,,,,,,,,,,,,,,,,,,,,,,
20/06/2017,20/06/2017,CAMPING,3 �toiles,Loisirs,-,CAMPING DU STADE,100 rue du stade,62830,SAMER,321839858,CampingdeSamer@gmail.com,http://campingdustade.wixsite.com/camping-de-samer,-,-,-,153,-,-,,,,,,,,,,,,,,,,,,,,,,,,
30/05/2017,30/05/2017,CAMPING,3 �toiles,Tourisme,-,CAMPING LES 4 TEMPLIERS,Route de Millau D609,34520,LE CAYLAR,467449090,les4templiers@orange.fr,http://www.camping-resto-le-caylar.com/,-,-,-,31,-,-,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2016,10/10/2016,CAMPING,2 �toiles,Tourisme,-,CAMPING DU BEC DE CISSE,Le Bec de Cisse,37210,VOUVRAY,247527048,contact@campinglebecdecisse.fr,-,-,-,-,36,-,-,,,,,,,,,,,,,,,,,,,,,,,,
06/07/2017,06/07/2017,CAMPING,5 �toiles,Loisirs,-,DOMAINE DE LA BERGERIE,1960 Route D�partementale 8,83520,ROQUEBRUNE-SUR-ARGENS,498114545,info@domainelabergerie.com,http://www.domainelabergerie.fr,-,-,-,700,-,-,,,,,,,,,,,,,,,,,,,,,,,,
15/06/2016,15/06/2016,CAMPING,3 �toiles,Tourisme,-,CAMPING DE L'OC�AN,15 Impasse des Mouettes Keroren-Ragu�n�s,29920,N�VEZ,298068713,campingocean@orange.fr,http://www.camping-ocean.fr,-,-,-,135,-,-,,,,,,,,,,,,,,,,,,,,,,,,
07/06/2013,07/06/2013,CAMPING,2 �toiles,Tourisme,-,CAMPING LA BERGERIE,4231 route de Giens,83400,HY�RES,494589175,contact@campinglabergerieplage.com,www.campinglabergerieplage.com,-,-,-,55,-,-,,,,,,,,,,,,,,,,,,,,,,,,
17/07/2017,17/07/2017,CAMPING,3 �toiles,Tourisme,-,CAMPING DE L'AUBIGUE ,camping l'aubigue,12720,MOSTU�JOULS,565626367,carlbudo@orange.fr,http://www.campingdelaubigue.fr/bienv.html,-,-,-,50,-,-,,,,,,,,,,,,,,,,,,,,,,,,
01/08/2013,01/08/2013,CAMPING,1 �toile,Loisirs,-,CAMPING DE LA RABAUDE,190 RUE DU BERGER,59190,STAPLE,328400328,larabaude@orange.fr,-,-,-,-,50,-,-,,,,,,,,,,,,,,,,,,,,,,,,
11/09/2017,11/09/2017,CAMPING,2 �toiles,Tourisme,-,CAMPING LAS CLOSES,route de Fillols,66820,CORNEILLA-DE-CONFLENT,468965229,serge-carrere@wanadoo.fr,www.las-closes.fr,-,-,-,80,-,-,,,,,,,,,,,,,,,,,,,,,,,,
13/11/2016,13/11/2016,CAMPING,3 �toiles,Tourisme,-,CAMPING LE BOIS ROLAND,82 ROUTE DE SAUJON,17600,MEDIS,546054758,bois.roland@wanadoo.fr,http://www.le-bois-roland.com,-,-,-,120,-,-,,,,,,,,,,,,,,,,,,,,,,,,
19/11/2013,19/11/2013,CAMPING,3 �toiles,Tourisme,-,LES TERRASSES DU LAC,VAUVEIX,23460,ROY�RE-DE-VASSIVI�RE,555647677,lesterrassesdulac.camping@orange.fr,http://www.lac-de-vassiviere.com/,-,-,-,142,-,-,,,,,,,,,,,,,,,,,,,,,,,,
